model_a,family_a,model_b,family_b,score,bcs,common_probe_count,char_length_match_rate,byte_length_match_rate,token_type_match_rate,prefix_match_rate,empty_match_rate
Meta-Llama-3-8B-Local,llama,Meta-Llama-3.1-8B-Local,llama,0.832502,0.832502,500000,0.847116,0.843922,0.911144,0.975978,0.963396
Qwen3.5-9B-Local,qwen,Qwen3.5-9B-Base-Local,qwen,0.717328,0.717328,500000,0.728132,0.723296,0.97494,0.999936,0.998564
Qwen2.5-7B-Local,qwen,Qwen3-8B-Base-Local,qwen,0.667976,0.667976,500000,0.698928,0.691748,0.844094,0.948616,0.961704
Qwen3-8B-Base-Local,qwen,Meta-Llama-3.1-8B-Local,llama,0.584402,0.584402,500000,0.618084,0.609872,0.80765,0.946764,0.930294
Qwen3-8B-Base-Local,qwen,Meta-Llama-3-8B-Local,llama,0.580022,0.580022,500000,0.61259,0.604332,0.805458,0.949078,0.925078
Qwen2.5-7B-Local,qwen,Meta-Llama-3.1-8B-Local,llama,0.575258,0.575258,500000,0.611252,0.602956,0.802234,0.94284,0.933534
Meta-Llama-3-8B-Instruct-Local,llama,Meta-Llama-3.1-8B-Instruct-Local,llama,0.574846,0.574846,500000,0.58476,0.583638,0.962874,0.998036,0.99302
Qwen2.5-7B-Local,qwen,Meta-Llama-3-8B-Local,llama,0.570634,0.570634,500000,0.60583,0.597,0.799678,0.944646,0.92765
Qwen3-8B-Local,qwen,Qwen3.5-9B-Local,qwen,0.532546,0.532546,500000,0.554158,0.548394,0.929824,0.98179,0.997852
Qwen2.5-7B-Instruct-Local,qwen,Qwen3-8B-Local,qwen,0.526348,0.526348,500000,0.548404,0.542258,0.91849,0.976122,0.998516
Qwen3-8B-Local,qwen,Meta-Llama-3.1-8B-Instruct-Local,llama,0.525398,0.525398,500000,0.548652,0.54376,0.923426,0.98114,0.99315
Qwen3-8B-Local,qwen,Qwen3.5-9B-Base-Local,qwen,0.52247,0.52247,500000,0.546952,0.538626,0.923166,0.981854,0.997516
Qwen3.5-9B-Base-Local,qwen,Meta-Llama-3.1-8B-Instruct-Local,llama,0.520016,0.520016,500000,0.53385,0.527224,0.962126,0.998954,0.992806
Qwen3.5-9B-Local,qwen,Meta-Llama-3.1-8B-Instruct-Local,llama,0.517436,0.517436,500000,0.530396,0.525906,0.964706,0.99889,0.992998
Qwen2.5-7B-Instruct-Local,qwen,Qwen3.5-9B-Local,qwen,0.514,0.514,500000,0.529006,0.523768,0.954642,0.993552,0.998012
